#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
439,Matterport,San Francisco Bay Area,USA,North America,170,2023-07-11 00:00:00 UTC,30,567,397,Data,Post-IPO,$409,2023,37.36883,-122.03635
441,Sisense,New York City,USA,North America,100,2023-07-11 00:00:00 UTC,15,667,567,Data,Series F,$274,2023,40.71427,-74.00597
447,FrontRow,Bengaluru,India,Asia,4,2023-07-10 00:00:00 UTC,100,4,0,Education,Series A,$17,2023,12.97194,77.59369
456,FNZ,London,United Kingdom,Europe,1000,2023-07-06 00:00:00 UTC,15,6667,5667,Finance,Private Equity …,1400,2023,51.50853,-0.12574
457,Perfect Day,San Francisco Bay Area,USA,North America,134,2023-07-06 00:00:00 UTC,15,893,759,Food,Series D,$711,2023,37.87159,-122.27275
459,TytoCare,New York City,USA,North America,20,2023-07-06 00:00:00 UTC,10,200,180,Healthcare,Series D,$156,2023,40.71427,-74.00597
466,Highsnobiety,Berlin,Germany,Europe,24,2023-07-03 00:00:00 UTC,10,240,216,Media,Acquired,$8,2023,52.52437,13.41053
467,Zip,Sydney,Australia,Australia,300,2023-07-02 00:00:00 UTC,20,1500,1200,Finance,Post-IPO,$896,2023,-33.86785,151.20732
473,Headspace,Los Angeles,USA,North America,181,2023-06-29 00:00:00 UTC,15,1207,1026,Healthcare,Unknown,$216,2023,34.05223,-118.24368
474,Artsy,New York City,USA,North America,35,2023-06-29 00:00:00 UTC,15,233,198,Retail,Series D,$100,2023,40.71427,-74.00597
477,Torii,Ra'anana,Israel,Asia,28,2023-06-29 00:00:00 UTC,30,93,65,Other,Series B,$65,2023,32.1836,34.87386
483,ClickUp,San Diego,USA,North America,90,2023-06-28 00:00:00 UTC,10,900,810,Other,Series C,$537,2023,32.71571,-117.16472
486,Plex,San Francisco Bay Area,USA,North America,37,2023-06-28 00:00:00 UTC,20,185,148,Media,Unknown,$81,2023,37.38605,-122.08385
490,New Relic,San Francisco Bay Area,USA,North America,255,2023-06-27 00:00:00 UTC,10,2550,2295,Infrastructure,Post-IPO,$214,2023,37.77493,-122.41942
498,Robinhood,San Francisco Bay Area,USA,North America,150,2023-06-26 00:00:00 UTC,7,2143,1993,Finance,Post-IPO,$5600,2023,37.45383,-122.18219
499,Convoy,Seattle,USA,North America,30,2023-06-26 00:00:00 UTC,5,600,570,Logistics,Series E,$1100,2023,47.60621,-122.33207
504,Uber,San Francisco Bay Area,USA,North America,200,2023-06-21 00:00:00 UTC,0.996164765652239,20077,19877,Transportation,Post-IPO,$25200,2023,37.77493,-122.41942
506,Ritual,Toronto,Canada,North America,38,2023-06-21 00:00:00 UTC,40,95,57,Food,Series C,$134,2023,43.70643,-79.39864
510,Grab,Singapore,Singapore,Asia,1000,2023-06-20 00:00:00 UTC,11,9091,8091,Transportation,Post-IPO,$16500,2023,1.28967,103.85007
514,Chingari,Bengaluru,India,Asia,48,2023-06-19 00:00:00 UTC,20,240,192,Media,Unknown,$88,2023,12.97194,77.59369
517,Mojocare,Bengaluru,India,Asia,170,2023-06-17 00:00:00 UTC,80,213,43,Healthcare,Series A,$24,2023,12.97194,77.59369
520,Pilot,San Francisco Bay Area,USA,North America,45,2023-06-16 00:00:00 UTC,13,346,301,Finance,Unknown,$116,2023,37.77493,-122.41942
523,CareRev,Los Angeles,USA,North America,100,2023-06-15 00:00:00 UTC,33,303,203,Healthcare,Series A,$51,2023,34.05223,-118.24368
527,FrontRow,Bengaluru,India,Asia,39,2023-06-15 00:00:00 UTC,90,43,4,Education,Series A,$17,2023,12.97194,77.59369
528,Bitwise,Fresno,USA,North America,900,2023-06-14 00:00:00 UTC,100,900,0,Crypto,Series B,$84,2023,36.74773,-119.77237
529,Sonos,New York City,USA,North America,130,2023-06-14 00:00:00 UTC,7,1857,1727,Consumer,Post-IPO,$455,2023,40.71427,-74.00597
530,TrueCar,Los Angeles,USA,North America,102,2023-06-14 00:00:00 UTC,24,425,323,Transportation,Post-IPO,$340,2023,34.05223,-118.24368
531,Olo,New York City,USA,North America,81,2023-06-14 00:00:00 UTC,11,736,655,Food,Post-IPO,$184,2023,40.71427,-74.00597
537,Grubhub,San Francisco Bay Area,USA,North America,400,2023-06-12 00:00:00 UTC,15,2667,2267,Food,Acquired,$284,2023,37.77493,-122.41942
538,GoCardless,London,United Kingdom,Europe,150,2023-06-12 00:00:00 UTC,17,882,732,Finance,Series G,$529,2023,51.50853,-0.12574
539,Pendo,Raleigh,USA,North America,100,2023-06-12 00:00:00 UTC,12,833,733,Product,Series F,$469,2023,35.7721,-78.63861
540,Chegg,San Francisco Bay Area,USA,North America,80,2023-06-12 00:00:00 UTC,4,2000,1920,Education,Post-IPO,$227,2023,37.35411,-121.95524
542,TaxBit,San Francisco Bay Area,USA,North America,80,2023-06-11 00:00:00 UTC,40,200,120,Crypto,Unknown,$253,2023,37.77493,-122.41942
544,Trybe,Sao Paulo,Brazil,South America,128,2023-06-09 00:00:00 UTC,35,366,238,Education,Series B,$40,2023,-23.5475,-46.63611
545,23andMe,San Francisco Bay Area,USA,North America,75,2023-06-09 00:00:00 UTC,9,833,758,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942
546,Expel,Washington DC,USA,North America,60,2023-06-09 00:00:00 UTC,10,600,540,Security,Series E,$288,2023,38.89511,-77.03637
548,Cityblock Health,New York City,USA,North America,155,2023-06-08 00:00:00 UTC,12,1292,1137,Healthcare,Series D,$891,2023,40.71427,-74.00597
549,Highspot,Seattle,USA,North America,140,2023-06-08 00:00:00 UTC,15,933,793,Sales,Series F,$644,2023,47.60621,-122.33207
561,Edgio,Phoenix,USA,North America,134,2023-06-06 00:00:00 UTC,12,1117,983,Infrastructure,Post-IPO,$462,2023,33.44838,-112.07404
562,Reddit,San Francisco Bay Area,USA,North America,90,2023-06-06 00:00:00 UTC,5,1800,1710,Consumer,Series F,$1300,2023,37.77493,-122.41942
563,Linktree,Melbourne,Australia,Australia,60,2023-06-06 00:00:00 UTC,27,222,162,Consumer,Unknown,$165,2023,-37.814,144.96332
564,Dragos,Baltimore,USA,North America,50,2023-06-06 00:00:00 UTC,9,556,506,Security,Series D,$364,2023,39.29038,-76.61219
568,Spotify,Stockholm,Sweden,Europe,200,2023-06-05 00:00:00 UTC,2,9400,9200,Media,Post-IPO,$2100,2023,59.32938,18.06871
572,ZoomInfo,Vancouver,Canada,North America,120,2023-06-02 00:00:00 UTC,3,4000,3880,Sales,Post-IPO,$7,2023,49.24966,-123.11934
578,Outbrain,New York City,USA,North America,90,2023-06-01 00:00:00 UTC,10,900,810,Marketing,Post-IPO,$394,2023,40.71427,-74.00597
584,Zendesk,San Francisco Bay Area,USA,North America,320,2023-05-31 00:00:00 UTC,8,4000,3680,Support,Acquired,$85,2023,37.77493,-122.41942
585,ZipRecruiter,Los Angeles,USA,North America,270,2023-05-31 00:00:00 UTC,20,1350,1080,Recruiting,Post-IPO,$769,2023,34.05223,-118.24368
586,Vendr,Boston,USA,North America,100,2023-05-31 00:00:00 UTC,25,400,300,Other,Series B,$216,2023,42.35843,-71.05977
588,Mux,San Francisco Bay Area,USA,North America,40,2023-05-31 00:00:00 UTC,30,133,93,Infrastructure,Series D,$173,2023,37.77493,-122.41942
589,Away,New York City,USA,North America,22,2023-05-31 00:00:00 UTC,8,275,253,Retail,Series D,$181,2023,40.71427,-74.00597
590,Taxfix,Berlin,Germany,Europe,120,2023-05-30 00:00:00 UTC,20,600,480,Finance,Series D,$330,2023,52.52437,13.41053
595,Evolve,Denver,USA,North America,164,2023-05-29 00:00:00 UTC,14,1171,1007,Travel,Series F,$224,2023,39.73915,-104.9847
596,Project44,Chicago,USA,North America,130,2023-05-26 00:00:00 UTC,10,1300,1170,Logistics,Unknown,$817,2023,41.85003,-87.65005
599,Airmeet,Bengaluru,India,Asia,75,2023-05-25 00:00:00 UTC,30,250,175,Marketing,Series B,$50,2023,12.97194,77.59369
602,Guild,Denver,USA,North America,172,2023-05-24 00:00:00 UTC,12,1433,1261,Education,Series F,$643,2023,39.73915,-104.9847
604,Flink,Berlin,Germany,Europe,100,2023-05-24 00:00:00 UTC,16,625,525,Food,Series B,$1000,2023,52.52437,13.41053
605,Western Digital,Kfar Saba,Israel,Asia,60,2023-05-24 00:00:00 UTC,7,857,797,Hardware,Post-IPO,$900,2023,32.175,34.90694
618,Pie Insurance,Washington DC,USA,North America,63,2023-05-18 00:00:00 UTC,14,450,387,Finance,Series D,$621,2023,38.89511,-77.03637
624,Stash,New York City,USA,North America,40,2023-05-17 00:00:00 UTC,10,400,360,Finance,Unknown,$480,2023,40.71427,-74.00597
627,Zepz,London,United Kingdom,Europe,420,2023-05-16 00:00:00 UTC,26,1615,1195,Finance,Series E,$700,2023,51.50853,-0.12574
628,Lemonade,New York City,USA,North America,45,2023-05-16 00:00:00 UTC,3,1500,1455,Finance,Post-IPO,$481,2023,40.71427,-74.00597
632,Nuro,San Francisco Bay Area,USA,North America,340,2023-05-12 00:00:00 UTC,30,1133,793,Transportation,Series D,$2100,2023,37.38605,-122.08385
634,Happay,Bengaluru,India,Asia,160,2023-05-12 00:00:00 UTC,35,457,297,Finance,Acquired,$21,2023,12.97194,77.59369
639,Cornershop,Santiago,Chile,South America,250,2023-05-11 00:00:00 UTC,11,2273,2023,Food,Acquired,$31,2023,-33.45694,-70.64827
643,Redbubble,Melbourne,Australia,Australia,70,2023-05-10 00:00:00 UTC,23,304,234,Retail,Post-IPO,$55,2023,-37.814,144.96332
